fips,county,state_ab
0,UNITED STATES,
1000,ALABAMA,
1001,AUTAUGA,AL
1003,BALDWIN,AL
1005,BARBOUR,AL
1007,BIBB,AL
1009,BLOUNT,AL
1011,BULLOCK,AL
1013,BUTLER,AL
1015,CALHOUN,AL
1017,CHAMBERS,AL
1019,CHEROKEE,AL
1021,CHILTON,AL
1023,CHOCTAW,AL
1025,CLARKE,AL
1027,CLAY,AL
1029,CLEBURNE,AL
1031,COFFEE,AL
1033,COLBERT,AL
1035,CONECUH,AL
1037,COOSA,AL
1039,COVINGTON,AL
1041,CRENSHAW,AL
1043,CULLMAN,AL
1045,DALE,AL
1047,DALLAS,AL
1049,DEKALB,AL
1051,ELMORE,AL
1053,ESCAMBIA,AL
1055,ETOWAH,AL
1057,FAYETTE,AL
1059,FRANKLIN,AL
1061,GENEVA,AL
1063,GREENE,AL
1065,HALE,AL
1067,HENRY,AL
1069,HOUSTON,AL
1071,JACKSON,AL
1073,JEFFERSON,AL
1075,LAMAR,AL
1077,LAUDERDALE,AL
1079,LAWRENCE,AL
1081,LEE,AL
1083,LIMESTONE,AL
1085,LOWNDES,AL
1087,MACON,AL
1089,MADISON,AL
1091,MARENGO,AL
1093,MARION,AL
1095,MARSHALL,AL
1097,MOBILE,AL
1099,MONROE,AL
1101,MONTGOMERY,AL
1103,MORGAN,AL
1105,PERRY,AL
1107,PICKENS,AL
1109,PIKE,AL
1111,RANDOLPH,AL
1113,RUSSELL,AL
1115,ST. CLAIR,AL
1117,SHELBY,AL
1119,SUMTER,AL
1121,TALLADEGA,AL
1123,TALLAPOOSA,AL
1125,TUSCALOOSA,AL
1127,WALKER,AL
1129,WASHINGTON,AL
1131,WILCOX,AL
1133,WINSTON,AL
2000,ALASKA,
2013,ALEUTIANS EAST BOROUGH,AK
2016,ALEUTIANS WEST CENSUS AREA,AK
2020,ANCHORAGE MUNICIPALITY,AK
2050,BETHEL CENSUS AREA,AK
2060,BRISTOL BAY BOROUGH,AK
2068,DENALI BOROUGH,AK
2070,DILLINGHAM CENSUS AREA,AK
2090,FAIRBANKS NORTH STAR BOROUGH,AK
2100,HAINES BOROUGH,AK
2105,HOONAH-ANGOON CENSUS AREA,AK
2110,JUNEAU CITY AND BOROUGH,AK
2122,KENAI PENINSULA BOROUGH,AK
2130,KETCHIKAN GATEWAY BOROUGH,AK
2150,KODIAK ISLAND BOROUGH,AK
2164,LAKE AND PENINSULA BOROUGH,AK
2170,MATANUSKA-SUSITNA BOROUGH,AK
2180,NOME CENSUS AREA,AK
2185,NORTH SLOPE BOROUGH,AK
2188,NORTHWEST ARCTIC BOROUGH,AK
2195,PETERSBURG BOROUGH,AK
2198,PRINCE OF WALES-HYDER CENSUS AREA,AK
2220,SITKA CITY AND BOROUGH,AK
2230,SKAGWAY MUNICIPALITY,AK
2240,SOUTHEAST FAIRBANKS CENSUS AREA,AK
2261,VALDEZ-CORDOVA CENSUS AREA,AK
2270,WADE HAMPTON CENSUS AREA,AK
2275,WRANGELL CITY AND BOROUGH,AK
2282,YAKUTAT CITY AND BOROUGH,AK
2290,YUKON-KOYUKUK CENSUS AREA,AK
4000,ARIZONA,
4001,APACHE,AZ
4003,COCHISE,AZ
4005,COCONINO,AZ
4007,GILA,AZ
4009,GRAHAM,AZ
4011,GREENLEE,AZ
4012,LA PAZ,AZ
4013,MARICOPA,AZ
4015,MOHAVE,AZ
4017,NAVAJO,AZ
4019,PIMA,AZ
4021,PINAL,AZ
4023,SANTA CRUZ,AZ
4025,YAVAPAI,AZ
4027,YUMA,AZ
5000,ARKANSAS,
5001,ARKANSAS,AR
5003,ASHLEY,AR
5005,BAXTER,AR
5007,BENTON,AR
5009,BOONE,AR
5011,BRADLEY,AR
5013,CALHOUN,AR
5015,CARROLL,AR
5017,CHICOT,AR
5019,CLARK,AR
5021,CLAY,AR
5023,CLEBURNE,AR
5025,CLEVELAND,AR
5027,COLUMBIA,AR
5029,CONWAY,AR
5031,CRAIGHEAD,AR
5033,CRAWFORD,AR
5035,CRITTENDEN,AR
5037,CROSS,AR
5039,DALLAS,AR
5041,DESHA,AR
5043,DREW,AR
5045,FAULKNER,AR
5047,FRANKLIN,AR
5049,FULTON,AR
5051,GARLAND,AR
5053,GRANT,AR
5055,GREENE,AR
5057,HEMPSTEAD,AR
5059,HOT SPRING,AR
5061,HOWARD,AR
5063,INDEPENDENCE,AR
5065,IZARD,AR
5067,JACKSON,AR
5069,JEFFERSON,AR
5071,JOHNSON,AR
5073,LAFAYETTE,AR
5075,LAWRENCE,AR
5077,LEE,AR
5079,LINCOLN,AR
5081,LITTLE RIVER,AR
5083,LOGAN,AR
5085,LONOKE,AR
5087,MADISON,AR
5089,MARION,AR
5091,MILLER,AR
5093,MISSISSIPPI,AR
5095,MONROE,AR
5097,MONTGOMERY,AR
5099,NEVADA,AR
5101,NEWTON,AR
5103,OUACHITA,AR
5105,PERRY,AR
5107,PHILLIPS,AR
5109,PIKE,AR
5111,POINSETT,AR
5113,POLK,AR
5115,POPE,AR
5117,PRAIRIE,AR
5119,PULASKI,AR
5121,RANDOLPH,AR
5123,ST. FRANCIS,AR
5125,SALINE,AR
5127,SCOTT,AR
5129,SEARCY,AR
5131,SEBASTIAN,AR
5133,SEVIER,AR
5135,SHARP,AR
5137,STONE,AR
5139,UNION,AR
5141,VAN BUREN,AR
5143,WASHINGTON,AR
5145,WHITE,AR
5147,WOODRUFF,AR
5149,YELL,AR
6000,CALIFORNIA,
6001,ALAMEDA,CA
6003,ALPINE,CA
6005,AMADOR,CA
6007,BUTTE,CA
6009,CALAVERAS,CA
6011,COLUSA,CA
6013,CONTRA COSTA,CA
6015,DEL NORTE,CA
6017,EL DORADO,CA
6019,FRESNO,CA
6021,GLENN,CA
6023,HUMBOLDT,CA
6025,IMPERIAL,CA
6027,INYO,CA
6029,KERN,CA
6031,KINGS,CA
6033,LAKE,CA
6035,LASSEN,CA
6037,LOS ANGELES,CA
6039,MADERA,CA
6041,MARIN,CA
6043,MARIPOSA,CA
6045,MENDOCINO,CA
6047,MERCED,CA
6049,MODOC,CA
6051,MONO,CA
6053,MONTEREY,CA
6055,NAPA,CA
6057,NEVADA,CA
6059,ORANGE,CA
6061,PLACER,CA
6063,PLUMAS,CA
6065,RIVERSIDE,CA
6067,SACRAMENTO,CA
6069,SAN BENITO,CA
6071,SAN BERNARDINO,CA
6073,SAN DIEGO,CA
6075,SAN FRANCISCO,CA
6077,SAN JOAQUIN,CA
6079,SAN LUIS OBISPO,CA
